#DESCRIPCIÓN,Orgánica,Programa ,Económica,Inicial,Modificaciones,Total,TOTAL O
Suministro vehículos: Seguridad Ciudadana,101.0,132.0,624.0,6000.0,0.0,6000.0,6000.0
Suministro vehículos:Brigada,405.0,155.0,624.0,30000.0,0.0,30000.0,25000.0
Mobiliario: Edificios Servicios Generales,101.0,920.0,625.0,0.0,25017.51,25017.51,18546.22
Mobiliario: Residencia de ancianos,903.0,23109.0,625.0,1000.0,3964.0,4964.0,1694.0
Mobiliario: Centros convivencia,903.0,23114.0,625.0,0.0,0.0,0.0,0.0
Equipos informáticos: TIC,301.0,920.0,626.0,0.0,1500.0,1500.0,1098.08
Inversiones biblioteca: Fondo bibliográfico,1008.0,3321.0,629.0,0.0,0.0,0.0,0.0
Reposición edificios: Mercado municipal,802.0,4312.0,632.0,0.0,2113.14,2113.14,0.0
Reposición edificios: Cent.sociales y esparcimient,405.0,23115.0,632.0,32132.29,10918.76,43051.05,23034.36
Reposición edificios:Cementerio municipal,405.0,164.0,632.0,110000.0,0.0,110000.0,37374.46
Inversiones en edificios: Instalaciones deportivas,1006.0,342.0,632.0,161700.0,0.0,161700.0,105307.58
Aplicaciones Informáticas: S.Técnicos Urbanismo,404.0,151.0,641.0,2500.0,0.0,2500.0,2499.99
Aplicaciones Informáticas:TIC,301.0,920.0,641.0,33052.0,1670.05,34722.05,0.0
Adquisicion inmuebles PMS: Urbanismo,404.0,151.0,681.0,357078.49,-11980.5,345097.99,286733.03
"Subvención SMARA, instalac.depósito agua",903.0,23111.0,783.0,0.0,6000.0,6000.0,0.0
"Subvención TUPAY, depósito capacidad agrícola",903.0,23111.0,784.0,0.0,4000.0,4000.0,0.0
Convenio Construcción Centro Alzheimer,903.0,23125.0,789.0,25000.0,0.0,25000.0,0.0
Transferencia capital: Promoción vivienda,402.0,1521.0,789.0,150000.0,-50000.0,100000.0,0.0
Préstamo a corto plazo:Admón.general,101.0,920.0,830.0,60000.0,-30000.0,30000.0,22029.42
Amortiz. préstamos Ip:Deuda pública,1101.0,011.0,913.0,2479540.54,26000.0,2505540.54,915509.43
#Totales,,,,28949864.61,1987470.97,30937335.58,18683409.48
